WindowDur_ms	VPcost	UnitID	Rate	CF_Hz_log	HearingStatus	VPdistance
50	200	Q374_t1_u3	143.316666666667	2.70878134080919	1	92.1174641909814
50	200	Q374_t1_u4	163.766666666667	2.73165587775561	1	103.027701149425
50	200	Q374_t1_u5	162.516666666667	2.71122263936052	1	102.893269672856
50	200	Q374_t1_u9	133.35	3.2541982407334	1	94.6082228116711
50	200	Q374_t1_u10	104.483333333333	3.13571992710076	1	83.2169549071618
50	200	Q374_t1_u11	7.08888888888889	2.82853686210441	1	9.00669541569542
50	200	Q374_t1_u12	19.3666666666667	2.79079665145087	1	20.3276392572944
50	200	Q374_t1_u13	140.1	3.29087438080227	1	99.0981379310345
50	200	Q374_t1_u14	117.55	3.1216895915359	1	88.8098443854995
50	200	Q374_t1_u15	125.3	3.00220862182666	1	90.041908045977
50	200	Q374_t1_u16	129.983333333333	2.93705314271989	1	96.1975013262599
50	200	Q374_t2_u1	130.266666666667	3.21977345324466	1	92.8473227232537
50	200	Q374_t2_u2	33.3833333333333	3.26999283426266	1	35.7247161803713
50	200	Q374_t2_u3	130.816666666667	3.15339571395125	1	97.5612572944297
50	200	Q374_t2_u4	132.883333333333	3.13960054289439	1	98.7816746242264
50	200	Q374_t2_u5	22.4166666666667	3.4947734754311	1	26.8118196286472
50	200	Q374_t2_u6	123.616666666667	3.13262214146626	1	90.4047427055703
50	200	Q374_t2_u7	142.566666666667	3.21331068915581	1	94.3709053934571
50	200	Q374_t2_u8	109.5	2.98272011576023	1	84.9496622458002
50	200	Q374_t2_u9	126.833333333333	3.22786806218717	1	93.5085747126437
50	200	Q374_t3_u1	107.933333333333	3.61752170991985	1	84.5816198054819
50	200	Q374_t3_u2	99.1833333333333	3.5638304286227	1	81.649465959328
50	200	Q374_t3_u3	106.1	3.59103456249724	1	82.0448278388278
50	200	Q374_t3_u4	114.133333333333	3.22847052675758	1	87.5184102564102
50	200	Q374_t3_u5	107.583333333333	3.25314727230364	1	81.3813722369584
50	200	Q374_t3_u6	6.05	3.67951418698623	1	7.09638019451813
50	200	Q374_t3_u7	7.21666666666667	3.67951418698623	1	8.4225216622458
50	200	Q374_t3_u8	48.3333333333333	3.65463701267299	1	43.5397289377289
50	200	Q374_t3_u9	119.55	3.78066501909625	1	89.5005411140584
50	200	Q374_t3_u10	66.3666666666667	3.61174876275814	1	60.9299522546419
50	200	Q374_t3_u11	84.8333333333333	3.62047454587329	1	69.30808311229
50	200	Q374_t3_u12	90.6	3.62047454587329	1	69.1662564102564
50	200	Q374_t3_u13	99.6333333333333	3.48488351066827	1	79.8450114942529
50	200	Q374_t3_u14	47.1	3.50456786529975	1	48.0334500442087
50	200	Q374_t3_u15	99.95	3.31201377122194	1	82.9097400530504
50	200	Q374_t3_u16	48.4333333333333	3.27609205647209	1	47.8456480990274
50	200	Q374_t3_u17	123.183333333333	3.31201377122194	1	91.1362687886826
50	200	Q374_t4_u1	134.833333333333	3.25143272402832	1	95.3492130857648
50	200	Q374_t4_u2	133.5	2.96650383878543	1	90.4138832891247
50	200	Q374_t4_u3	112.566666666667	3.05281427483153	1	84.8164031830239
50	200	Q374_t4_u4	114.933333333333	3.16701209545303	1	87.4411941391941
