UnitID	ChinID	CF_kHz	Threshold_dBSPL	Q10local	Q10global	TTR_dB	SpontRate	HearingStatus	StimSNR	RespCorr	RespCorrRaw
321_2_1	321	5.696465604	7.65283597007895	6.5017038851911	6.5017038851911	NaN	82	1	-10	0.00533147318258449	0.00533147318258449
321_2_1	321	5.696465604	7.65283597007895	6.5017038851911	6.5017038851911	NaN	82	1	-5	0.0150269601443928	0.0150269601443928
321_2_1	321	5.696465604	7.65283597007895	6.5017038851911	6.5017038851911	NaN	82	1	0	0.00129838193149431	0.00129838193149431
321_2_2	321	5.897453827	-2.09530431213422	11.7351632279033	11.7351632279033	54.2593763670105	72.2	1	-10	0.001	-0.00197448228678437
321_2_2	321	5.897453827	-2.09530431213422	11.7351632279033	11.7351632279033	54.2593763670105	72.2	1	-5	0.00469607443552597	0.00469607443552597
321_2_2	321	5.897453827	-2.09530431213422	11.7351632279033	11.7351632279033	54.2593763670105	72.2	1	0	0.00672652546782437	0.00672652546782437
321_2_3	321	4.342116617	0.17374898952317	10.7759225866545	10.7759225866545	54.5967222185192	19.2666666666667	1	-10	0.00147095053727883	0.00147095053727883
321_2_3	321	4.342116617	0.17374898952317	10.7759225866545	10.7759225866545	54.5967222185192	19.2666666666667	1	-5	0.019593978014208	0.019593978014208
321_2_3	321	4.342116617	0.17374898952317	10.7759225866545	10.7759225866545	54.5967222185192	19.2666666666667	1	0	0.0243875465328733	0.0243875465328733
321_2_4	321	4.96319161	15.1395764182253	3.98257515757728	3.98257515757728	40.8276150139466	92.4666666666667	1	-5	0.00299334057097851	0.00299334057097851
321_2_4	321	4.96319161	15.1395764182253	3.98257515757728	3.98257515757728	40.8276150139466	92.4666666666667	1	0	0.00477708761922814	0.00477708761922814
321_2_5	321	5.243788625	6.18148618529548	9.53549378806527	9.5354937880653	NaN	13.4666666666667	1	-10	0.001	-0.00355035573072848
321_2_5	321	5.243788625	6.18148618529548	9.53549378806527	9.5354937880653	NaN	13.4666666666667	1	-5	0.0128022598308621	0.0128022598308621
321_2_5	321	5.243788625	6.18148618529548	9.53549378806527	9.5354937880653	NaN	13.4666666666667	1	0	0.0399869575455903	0.0399869575455903
321_2_6	321	5.243788625	18.8481528519621	4.37743576993201	4.37743576993201	39.8070167536565	13.0333333333333	1	-10	0.00657894811097237	0.00657894811097237
321_2_6	321	5.243788625	18.8481528519621	4.37743576993201	4.37743576993201	39.8070167536565	13.0333333333333	1	-5	0.0175069530898417	0.0175069530898417
321_2_7	321	4.090239729	-9.69905068266025	8.34722384923796	8.34722384923797	60.0416363041503	85.3	1	0	0.001	0.000615660010375899
321_2_8	321	3.535490887	12.8991282056133	5.30739668997365	5.30739668997365	44.1128901643884	3.96666666666667	1	-10	0.001	-0.00102727300800744
