WindowDur_ms	VPcost	UnitID	Rate	SRps	CF_Hz_log	HearingStatus	VPdistance
1300	100	Q374_t1_u3	143.316666666667	89.9667	2.70878134080919	1	0.204179709988431
1300	100	Q374_t1_u4	163.766666666667	116.666666666667	2.73165587775561	1	0.195172834663156
1300	100	Q374_t1_u5	162.516666666667	109.4	2.71122263936052	1	0.196597277984618
1300	100	Q374_t1_u9	133.35	97.3666666666667	3.2541982407334	1	0.223969473536398
1300	100	Q374_t1_u10	104.483333333333	65.4666666666667	3.13571992710076	1	0.261703707044501
1300	100	Q374_t1_u11	7.08888888888889	0.733333333333333	2.82853686210441	1	0.496424129854432
1300	100	Q374_t1_u12	19.3666666666667	1.4	2.79079665145087	1	0.393396220351427
1300	100	Q374_t1_u13	140.1	93.5666666666667	3.29087438080227	1	0.22246841662645
1300	100	Q374_t1_u14	117.55	81.1	3.1216895915359	1	0.240856352703736
1300	100	Q374_t1_u15	125.3	78.8666666666667	3.00220862182666	1	0.224763041642046
1300	100	Q374_t1_u16	129.983333333333	91.2	2.93705314271989	1	0.23690530278069
1300	100	Q374_t2_u1	130.266666666667	81.1333333333333	3.21977345324466	1	0.22536141105322
1300	100	Q374_t2_u2	33.3833333333333	6.4333	3.26999283426266	1	0.379352054177732
1300	100	Q374_t2_u3	130.816666666667	98.8333333333333	3.15339571395125	1	0.239971112161566
1300	100	Q374_t2_u4	132.883333333333	103.4	3.13960054289439	1	0.240242279232268
1300	100	Q374_t2_u5	22.4166666666667	10.3333333333333	3.4947734754311	1	0.467148894991827
1300	100	Q374_t2_u6	123.616666666667	76.9	3.13262214146626	1	0.227485633260327
1300	100	Q374_t2_u7	142.566666666667	93.3333333333333	3.21331068915581	1	0.20446537637916
1300	100	Q374_t2_u8	109.5	85.7	2.98272011576023	1	0.249667588914786
1300	100	Q374_t2_u9	126.833333333333	75.3666666666667	3.22786806218717	1	0.233296661433414
1300	100	Q374_t3_u1	107.933333333333	86.4666666666667	3.61752170991985	1	0.251563859071158
1300	100	Q374_t3_u2	99.1833333333333	73.5	3.5638304286227	1	0.272546949232006
1300	100	Q374_t3_u3	106.1	92.2333333333333	3.59103456249724	1	0.258306132788162
1300	100	Q374_t3_u4	114.133333333333	64.7	3.22847052675758	1	0.235310884193806
1300	100	Q374_t3_u5	107.583333333333	51.4666666666667	3.25314727230364	1	0.24161389079482
1300	100	Q374_t3_u6	6.05	0.2	3.67951418698623	1	0.432215919154281
1300	100	Q374_t3_u7	7.21666666666667	0.1	3.67951418698623	1	0.432060850290293
1300	100	Q374_t3_u8	48.3333333333333	29.2	3.65463701267299	1	0.322398284542788
1300	100	Q374_t3_u9	119.55	89.4	3.78066501909625	1	0.217704072299614
1300	100	Q374_t3_u10	66.3666666666667	57.5666666666667	3.61174876275814	1	0.313627569320009
1300	100	Q374_t3_u11	84.8333333333333	66.0666666666667	3.62047454587329	1	0.273487003805066
1300	100	Q374_t3_u12	90.6	84.6333333333333	3.62047454587329	1	0.247467205307249
1300	100	Q374_t3_u13	99.6333333333333	56.9333333333333	3.48488351066827	1	0.260652491018961
1300	100	Q374_t3_u14	47.1	18.4666666666667	3.50456786529975	1	0.360549914780595
1300	100	Q374_t3_u15	99.95	73.3	3.31201377122194	1	0.271656964649251
1300	100	Q374_t3_u16	48.4333333333333	10.7333333333333	3.27609205647209	1	0.339446482603302
1300	100	Q374_t3_u17	123.183333333333	93.7667	3.31201377122194	1	0.233246121576134
1300	100	Q374_t4_u1	134.833333333333	72.8333333333333	3.25143272402832	1	0.21979506462352
1300	100	Q374_t4_u2	133.5	95.9	2.96650383878543	1	0.205483632091292
1300	100	Q374_t4_u3	112.566666666667	76.8333333333333	3.05281427483153	1	0.240838636404086
1300	100	Q374_t4_u4	114.933333333333	70.2	3.16701209545303	1	0.232274590133391
1300	100	Q374_t4_u5	156.85	108.266666666667	2.87473284400209	1	0.204960764853568
1300	100	Q374_t4_u6	147.1	89.4	2.64090478902461	1	0.20146680451998
1300	100	Q374_t4_u7	93.6666666666667	80.1666666666667	2.6807796596949	1	0.271501794656397
1300	100	Q374_t5_u1	53.4833333333333	27.6	3.58510685771022	1	0.298788968299523
1300	100	Q374_t5_u2	144.083333333333	88.8	3.29135218641248	1	0.213819823643938
1300	100	Q374_t5_u3	127.55	68.7	3.24217998815816	1	0.222970608385915
1300	100	Q374_t5_u4	104.733333333333	56.9	2.88547025774335	1	0.238282170357485
1300	100	Q374_t5_u5	123.033333333333	88.1666666666667	2.83132213257687	1	0.223827043980032
1300	100	Q374_t5_u6	12.25	1.76666666666667	3.03336006716127	1	0.478817359344639
1300	100	Q374_t5_u7	110.833333333333	62.6	3.09305662353928	1	0.236115878630223
1300	100	Q374_t5_u8	132.9	83.6	3.09305662353928	1	0.221778371074238
1300	100	Q374_t5_u9	111.183333333333	83.4333333333333	2.98628619487891	1	0.236765448116808
1300	100	Q374_t5_u10	126.533333333333	97.7666666666667	3.01789782511402	1	0.239979750465679
1300	100	Q374_t5_u11	122.1	110.933333333333	3.03336006716127	1	0.243407512686839
1300	100	Q374_t5_u12	116.883333333333	92.3666666666667	3.01789782511402	1	0.25454395446694
1300	100	Q394_t1_u4	171.2	64.1	3.01789782511402	1	0.175499744535571
1300	100	Q394_t1_u5	111.22	12.5	2.98628619487891	1	0.193164418482946
1300	100	Q394_t1_u7	127.34	53.6666666666667	3.26383566374718	1	0.203751368102818
1300	100	Q394_t1_u8	131.58	27.3666666666667	3.0144355935388	1	0.202187499697799
