WindowDur_ms	VPcost	UnitID	Rate	SRps	CF_Hz_log	HearingStatus	VPdistance	Precision
1300	8	Q374_t1_u3	143.316666666667	89.9667	2.70878134080919	1	0.0496181861513178	3.00339785617667
1300	8	Q374_t1_u4	163.766666666667	116.666666666667	2.73165587775561	1	0.0471943337368482	3.05348144154509
1300	8	Q374_t1_u5	162.516666666667	109.4	2.71122263936052	1	0.0483350952553851	3.02959737233439
1300	8	Q374_t1_u9	133.35	97.3666666666667	3.2541982407334	1	0.0562104290875716	2.87865296834542
1300	8	Q374_t1_u10	104.483333333333	65.4666666666667	3.13571992710076	1	0.0634114765550501	2.75811041570232
1300	8	Q374_t1_u11	7.08888888888889	0.733333333333333	2.82853686210441	1	0.238300587271707	1.43422243045871
1300	8	Q374_t1_u12	19.3666666666667	1.4	2.79079665145087	1	0.154270932663367	1.86904491932046
1300	8	Q374_t1_u13	140.1	93.5666666666667	3.29087438080227	1	0.0556875580226286	2.88799853181893
1300	8	Q374_t1_u14	117.55	81.1	3.1216895915359	1	0.0592194638884116	2.82650500923026
1300	8	Q374_t1_u15	125.3	78.8666666666667	3.00220862182666	1	0.0518796591988575	2.95882848858289
1300	8	Q374_t1_u16	129.983333333333	91.2	2.93705314271989	1	0.0617960220952084	2.78391628398161
1300	8	Q374_t2_u1	130.266666666667	81.1333333333333	3.21977345324466	1	0.0544319081295941	2.91080475057151
1300	8	Q374_t2_u2	33.3833333333333	6.4333	3.26999283426266	1	0.097900843539587	2.3238001131438
1300	8	Q374_t2_u3	130.816666666667	98.8333333333333	3.15339571395125	1	0.0575684363825585	2.85478084094538
1300	8	Q374_t2_u4	132.883333333333	103.4	3.13960054289439	1	0.0591724554519376	2.82729912489637
1300	8	Q374_t2_u5	22.4166666666667	10.3333333333333	3.4947734754311	1	0.176091632000043	1.73675078306419
1300	8	Q374_t2_u6	123.616666666667	76.9	3.13262214146626	1	0.0540703356127676	2.91746956860235
1300	8	Q374_t2_u7	142.566666666667	93.3333333333333	3.21331068915581	1	0.0467725866827848	3.06245800232116
1300	8	Q374_t2_u8	109.5	85.7	2.98272011576023	1	0.0574039779882987	2.85764167512592
1300	8	Q374_t2_u9	126.833333333333	75.3666666666667	3.22786806218717	1	0.0591256744660735	2.82809002477509
1300	8	Q374_t3_u1	107.933333333333	86.4666666666667	3.61752170991985	1	0.0586054741410015	2.83692717138666
1300	8	Q374_t3_u2	99.1833333333333	73.5	3.5638304286227	1	0.0697334401432944	2.66307530376905
1300	8	Q374_t3_u3	106.1	92.2333333333333	3.59103456249724	1	0.0612846710007323	2.79222553255241
1300	8	Q374_t3_u4	114.133333333333	64.7	3.22847052675758	1	0.0560979667197024	2.88065571096588
1300	8	Q374_t3_u5	107.583333333333	51.4666666666667	3.25314727230364	1	0.0610533325819316	2.79600749216865
1300	8	Q374_t3_u6	6.05	0.2	3.67951418698623	1	0.224614415581098	1.49337005538439
1300	8	Q374_t3_u7	7.21666666666667	0.1	3.67951418698623	1	0.204363942524398	1.58785284265044
1300	8	Q374_t3_u8	48.3333333333333	29.2	3.65463701267299	1	0.105940278713509	2.24487975200733
1300	8	Q374_t3_u9	119.55	89.4	3.78066501909625	1	0.0472708360711269	3.051861747193
1300	8	Q374_t3_u10	66.3666666666667	57.5666666666667	3.61174876275814	1	0.084223750337606	2.47427832699038
1300	8	Q374_t3_u11	84.8333333333333	66.0666666666667	3.62047454587329	1	0.0716010433067873	2.63664563379785
1300	8	Q374_t3_u12	90.6	84.6333333333333	3.62047454587329	1	0.0604485770357337	2.80596224172306
1300	8	Q374_t3_u13	99.6333333333333	56.9333333333333	3.48488351066827	1	0.0667994733962664	2.70606008176004
1300	8	Q374_t3_u14	47.1	18.4666666666667	3.50456786529975	1	0.101063083391671	2.29201036907845
1300	8	Q374_t3_u15	99.95	73.3	3.31201377122194	1	0.0690934505225756	2.67229533529726
1300	8	Q374_t3_u16	48.4333333333333	10.7333333333333	3.27609205647209	1	0.0902959362182921	2.40466282269156
1300	8	Q374_t3_u17	123.183333333333	93.7667	3.31201377122194	1	0.0587015481031586	2.83528917935857
1300	8	Q374_t4_u1	134.833333333333	72.8333333333333	3.25143272402832	1	0.054442556300387	2.91060914601203
1300	8	Q374_t4_u2	133.5	95.9	2.96650383878543	1	0.0464421549466325	3.06954772041609
1300	8	Q374_t4_u3	112.566666666667	76.8333333333333	3.05281427483153	1	0.0622543587000979	2.77652672680987
1300	8	Q374_t4_u4	114.933333333333	70.2	3.16701209545303	1	0.0626062853551264	2.77088960088236
1300	8	Q374_t4_u5	156.85	108.266666666667	2.87473284400209	1	0.0522321933367588	2.95205624360445
1300	8	Q374_t4_u6	147.1	89.4	2.64090478902461	1	0.0480444153622478	3.0356293758721
1300	8	Q374_t4_u7	93.6666666666667	80.1666666666667	2.6807796596949	1	0.0693556548680588	2.66850759454978
1300	8	Q374_t5_u1	53.4833333333333	27.6	3.58510685771022	1	0.0921021365166921	2.38485713819741
1300	8	Q374_t5_u2	144.083333333333	88.8	3.29135218641248	1	0.0491984968315348	3.01189220815518
1300	8	Q374_t5_u3	127.55	68.7	3.24217998815816	1	0.0534935055379747	2.92819502426231
1300	8	Q374_t5_u4	104.733333333333	56.9	2.88547025774335	1	0.0543033760700114	2.91316887957331
1300	8	Q374_t5_u5	123.033333333333	88.1666666666667	2.83132213257687	1	0.0512486715358805	2.97106558255069
1300	8	Q374_t5_u6	12.25	1.76666666666667	3.03336006716127	1	0.230582341753379	1.46714724930307
