ChinID	CF_kHz	SpontRate	HearingStatus	thresh_dB	Q10local	TTR_dB	SusRate_g	OnRate_g	SusRate_d	OnRate_d
321	4.342116617	19.2666666666667	NH	0.17374898952317	10.7759225866545	54.5967222185192	185.333333333333	337.5	237.333333333333	355
321	4.96319161	92.4666666666667	NH	15.1395764182253	3.98257515757728	40.8276150139466	106.666666666667	232.5	129.333333333333	257.5
321	5.243788625	13.4666666666667	NH	6.18148618529548	9.53549378806527	NaN	93.3333333333334	200	153.333333333333	322.5
321	5.243788625	13.0333333333333	NH	18.8481528519621	4.37743576993201	39.8070167536565	92	222.5	164	315
321	4.090239729	85.3	NH	-9.69905068266025	8.34722384923796	60.0416363041503	145.333333333333	252.5	162.666666666667	280
321	3.535490887	3.96666666666667	NH	12.8991282056133	5.30739668997365	44.1128901643884	106.666666666667	125	157.333333333333	272.5
321	4.228609837	4.73333333333333	NH	15.8659941850008	5.33036528456624	NaN	125.333333333333	205	173.333333333333	277.5
321	4.144973038	102.333333333333	NH	-3.13040814966208	5.70011601470219	NaN	196	327.5	194.666666666667	320
321	4.144973038	1.9	NH	21.3140362947824	4.51840508214276	NaN	65.3333333333333	95	136	177.5
321	NaN	0.533333333333333	NH	NaN	NaN	NaN	29.3333333333333	37.5	16	35
322	3.475609728	4.9	NH	8.79882383137334	5.09470889983411	52.7839281308402	114.666666666667	117.5	138.666666666667	260
322	3.326978166	6.7	NH	8.11626859030612	6.69271588092881	NaN	124	162.5	158.666666666667	225
322	8.934560923	60.8	NH	2.22058536880325	7.03189309884986	NaN	113.333333333333	227.5	77.3333333333334	225
322	7.705316109	81.5666666666667	NH	1.81580927888827	10.4914259351071	NaN	238.666666666667	225	170.666666666667	287.5
322	9.652190431	74.3333333333333	NH	16.3299151679393	4.54389415856348	NaN	97.3333333333334	182.5	69.3333333333334	170
322	9.786329755	34.9	NH	20.1859265693054	4.50345055725887	NaN	138.666666666667	140	54.6666666666667	135
322	6.308662272	44.1666666666667	NH	-0.903020397762388	10.1885538976649	NaN	98.6666666666667	237.5	132.666666666667	323.75
322	2.864131286	41.8	NH	2.35422952081826	4.40873437201665	44.602993964511	136	237.5	172	260
322	4.257209676	7.6	NH	4.87141617659716	7.1393524181797	NaN	113.333333333333	205	157.333333333333	265
322	5.149289271	10.3	NH	8.86663608070904	4.51906141629419	NaN	133.333333333333	215	170.666666666667	272.5
322	8.438533664	97.9333333333333	NH	19.1381510803087	4.2734893930267	44.1535982521591	116	202.5	93.3333333333334	282.5
322	9.063076815	87.7	NH	16.9794198496056	4.87148329821338	NaN	157.333333333333	272.5	117.333333333333	270
322	9.063076815	62.0666666666667	NH	3.20164207182779	11.1936740598294	NaN	98.6666666666667	212.5	74.6666666666667	252.5
322	5.302743749	59.0333333333333	NH	6.64002410617219	7.79021951121807	NaN	84	175	140	275
322	7.128534282	0.633333333333333	NH	35.178286709762	4.76582324335677	NaN	17.3333333333333	35	60	187.5
322	6.576733872	70.9666666666667	NH	13.5265079037037	5.9736717572697	NaN	115.555555555556	216.666666666667	133.333333333333	320.833333333333
322	8.307265413	2.86666666666667	NH	25.3947726527702	4.38801488848543	NaN	97.3333333333334	80	45.3333333333333	135
322	7.023259975	8.33333333333333	NH	20.8077251863848	4.51780646331421	NaN	94.6666666666667	107.5	134.666666666667	295
325	4.657330784	21.1666666666667	NH	17.4047128259065	4.39328732225328	NaN	65.3333333333333	70	133.333333333333	137.5
325	4.657330784	17.1333333333333	NH	4.73804615923981	7.71835707236069	NaN	90.6666666666667	130	206.666666666667	265
325	4.657330784	21.0666666666667	NH	6.73804615923981	5.65079811026023	NaN	100	140	161.333333333333	232.5
325	3.977131455	17.1	NH	7.57098434144718	5.61535221955042	NaN	136	215	180	340
325	3.816539839	25.0333333333333	NH	8.69729724758476	4.52606094538542	NaN	126.666666666667	240	153.333333333333	347.5
325	2.931133715	97.1666666666667	NH	6.27625998580465	5.12738356650925	NaN	126.666666666667	247.5	134.666666666667	297.5
338	6.15315009	1.86666666666667	NH	-11.3638482987935	7.95352191335953	71.454737691076	168	270	210.666666666667	357.5
