ChinID	CF_kHz	SpontRate	HearingStatus	thresh_dB	Q10local	TTR_dB	BurstRates_g	BurstRates_d
374	NaN	NaN	NH	NaN	NaN	NaN	NaN	NaN
374	0.5114242781	108.033333333333	NH	15.1443480831886	3.27728482539435	NaN	NaN	NaN
374	0.5114242781	89.9667	NH	15.1443480831886	3.27728482539435	NaN	61.3666333333334	62.6999666666667
374	0.5390832994	116.666666666667	NH	9.87314643801486	4.80022070710496	NaN	59.3333333333334	35.3333333333333
374	0.5143072416	109.4	NH	16.1148307985152	1.66166837718012	NaN	63.9333333333334	61.9333333333333
374	0.4668775275	NaN	NH	14.1618349276799	1.97556413133233	NaN	NaN	NaN
374	NaN	11.0666666666667	NH	NaN	NaN	NaN	26.2666666666667	37.6
374	NaN	99.0333333333333	NH	NaN	NaN	NaN	3.63333333333335	-7.03333333333335
374	1.795553049	97.3666666666667	NH	14.5553742219893	3.27830973378154	34.7789632438177	64.6333333333334	60.6333333333333
374	1.366847073	65.4666666666667	NH	16.0700550891158	3.59605392001548	37.8493169066607	59.2	49.2
374	0.6738090847	0.733333333333333	NH	29.0327958998403	2.46703224981006	NaN	13.9333333333333	11.2666666666667
374	0.6177270957	1.4	NH	25.3664833354503	1.97722502197695	NaN	34.6	23.9333333333333
374	1.953774247	93.5666666666667	NH	23.7957186291548	2.18228197629305	20.7589289815705	68.4333333333334	42.4333333333333
374	1.323395311	81.1	NH	25.5636232780863	1.87822826735464	19.7309776988016	57.5666666666667	55.5666666666667
374	1.005098493	78.8666666666667	NH	13.6752372071865	2.74888558291649	NaN	60.4666666666667	56.4666666666667
374	0.8650737676	91.2	NH	28.3078615611342	1.5122998029595	NaN	43.4666666666667	57.4666666666667
374	1.658721421	81.1333333333333	NH	10.1435030184164	3.81470513167326	36.2398791122047	85.5333333333333	69.5333333333333
374	1.862056413	6.4333	NH	22.0345048169592	2.00446791822902	29.6416526937453	74.2333666666667	42.9000333333333
374	1.423625354	98.8333333333333	NH	24.3774292828207	3.16986462387206	NaN	30.5	21.1666666666666
374	1.379115193	103.4	NH	18.8377304254694	6.10478031405995	NaN	37.2666666666667	27.9333333333333
374	3.124449254	10.3333333333333	NH	27.1116521648119	5.44905150667116	25.4542288169407	13.6666666666667	22.3333333333333
374	1.357132158	76.9	NH	14.4136902622733	3.32157596204601	NaN	60.4333333333333	42.4333333333333
374	1.634220632	93.3333333333333	NH	15.7403644309041	2.22657143691371	27.5020015347372	54.6666666666667	52.6666666666667
374	0.96099276	85.7	NH	14.5049222080893	2.17223918714041	NaN	42.3	37.6333333333333
374	1.689927457	75.3666666666667	NH	13.2853180101557	3.02048438098494	31.8379097565525	73.9666666666667	59.3
374	4.144973038	86.4666666666667	NH	19.2530796109825	4.75802509165516	NaN	38.8666666666667	60.2
374	3.662945261	73.5	NH	32.1333080411247	2.97508865918701	25.8139638602578	30.5	39.1666666666667
374	3.899730207	92.2333333333333	NH	26.7611828218631	3.3219396485316	36.2337992465472	11.7666666666667	53.1
374	1.692273395	64.7	NH	13.2051875548278	2.80535751037438	32.8916609991819	81.9666666666667	66.6333333333333
374	1.791213164	51.4666666666667	NH	15.3736559366695	2.27100054140139	30.5239530069043	115.866666666667	69.2
374	4.780949837	0.2	NH	27.8694076135503	4.18161536719799	NaN	1.8	5.13333333333333
374	4.780949837	0.1	NH	26.536074280217	4.23310208821593	NaN	2.56666666666667	6.56666666666667
374	4.514784368	29.2	NH	19.4211641938925	3.79825087454034	42.0106855769908	56.1333333333333	82.8
374	6.034829701	89.4	NH	16.3289302426634	4.06390914166633	40.346805514196	23.9333333333333	34.6
374	4.090239729	57.5666666666667	NH	22.245430437097	4.55450593963102	NaN	24.4333333333333	48.4333333333333
374	4.173251382	66.0666666666667	NH	18.8007697419068	4.90234958973057	NaN	38.6	61.9333333333333
374	4.173251382	84.6333333333333	NH	15.0229919641291	4.80211434299794	NaN	43.3666666666667	54.0333333333333
374	3.054101812	56.9333333333333	NH	21.4283912568339	6.29236377149467	27.6286629157178	40.4	59.0666666666666
374	3.195713706	18.4666666666667	NH	30.0297802134317	2.96465387257718	NaN	36.2	30.8666666666667
374	2.051227221	73.3	NH	23.0596967477223	2.54706621094054	28.6030210955928	59.3666666666667	32.7
374	1.888391585	10.7333333333333	NH	21.0520372307256	2.70935819290863	NaN	83.9333333333334	60.6
374	2.051227221	93.7667	NH	24.1708078588334	3.08232976573183	29.2974731285053	42.2333	20.8999666666667
374	1.784155586	72.8333333333333	NH	13.700216009544	2.48743895736439	36.203284640009	100.5	73.8333333333333
374	0.9257715681	95.9	NH	16.1036127680059	1.86603927350103	NaN	56.1	72.1
374	1.129312863	76.8333333333333	NH	17.6271635746106	4.13906535686037	32.2718733856609	51.1666666666667	47.8333333333333
374	1.468967189	70.2	NH	24.0154731241504	1.80245226042068	19.4883675462722	37.8	56.4666666666667
374	0.7494330542	108.266666666667	NH	14.8172876963275	2.38102296615399	NaN	54.4	68.4
374	0.4374261971	89.4	NH	15.6476815649831	1.39036366467969	NaN	65.2666666666667	83.2666666666667
374	0.4794901165	80.1666666666667	NH	12.0863786209397	1.82545899177804	NaN	13.1666666666667	57.1666666666666
374	3.846864221	27.6	NH	12.6198639393322	6.21657440584739	NaN	41.7333333333334	91.7333333333333
374	1.955924949	88.8	NH	18.2848292530273	3.17060610723036	34.1140972397054	85.2	45.8666666666666
374	1.746545838	68.7	NH	16.6193830553292	2.89411740377213	32.4487345763103	104.633333333333	56.6333333333333
