UnitID	ChinID	CF_kHz	Threshold_dBSPL	Q10local	Q10global	TTR_dB	SpontRate	HearingStatus	StimSNR	RespCorr	RespCorrRaw	DR_SN	DR_N	DR_SNrelN
338_1_5	338	6.469354636	38.856926614103	2.81138979606032	2.81138979606032	NaN	0.7	1	-10	0.0214313106107244	0.0214313106107244	79.0000000000001	65.4	13.6
338_1_5	338	6.469354636	38.856926614103	2.81138979606032	2.81138979606032	NaN	0.7	1	-5	0.0358258827179382	0.0358258827179382	99.0000000000001	75.8000000000001	23.2
338_1_5	338	6.469354636	38.856926614103	2.81138979606032	2.81138979606032	NaN	0.7	1	0	0.0336414818904611	0.0336414818904611	90.4000000000001	67.0000000000001	23.4
338_2_2	338	5.435697359	-10.8520144482037	5.95356823229181	5.95356823229182	NaN	9.5	1	0	0.001	-0.00348317054040426	58.6428571428572	70.0000000000001	1
338_2_3	338	5.495854974	-0.278078927305783	11.9988670437348	11.9988670437348	NaN	76.2333333333333	1	0	0.00890819695573601	0.00890819695573601	90.5882352941176	81.5643274853801	9.02390780873748
338_3_1	338	3.816539839	-15.4222030771243	4.47359827144829	4.47359827144828	NaN	58.0666666666667	1	-10	0.00302925652270643	0.00302925652270643	98.4000000000001	94.4000000000001	4.00000000000001
338_3_1	338	3.816539839	-15.4222030771243	4.47359827144829	4.47359827144828	NaN	58.0666666666667	1	-5	0.00877807426328119	0.00877807426328119	110.8	103.6	7.19999999999999
338_3_1	338	3.816539839	-15.4222030771243	4.47359827144829	4.47359827144828	NaN	58.0666666666667	1	0	0.0209560853260388	0.0209560853260388	127.8	113	14.8
338_4_1	338	3.977131455	51.4620582464228	2.06610302627897	2.06610302627897	NaN	0.6	1	-5	0.00870523629375078	0.00870523629375078	31.3235294117647	19.4444444444445	11.8790849673203
341_1_1	341	4.309632294	-11.992951249134	9.99806614001439	9.99806614001437	53.6294955987153	84.8	1	-5	0.0138378439504941	0.0138378439504941	123	111.2	11.8
341_1_1	341	4.309632294	-11.992951249134	9.99806614001439	9.99806614001437	53.6294955987153	84.8	1	0	0.01159411284501	0.01159411284501	121.8	114.8	7.00000000000001
341_1_2	341	3.977131455	-12.3202478500813	8.97853205073127	8.97853205073129	NaN	86.8	1	-10	0.00962150119065219	0.00962150119065219	136.176470588235	129.444444444444	6.73202614379079
341_1_3	341	3.582678948	3.71805646894375	5.1230245101476	5.1230245101476	NaN	86.1	1	-10	0.00394616432729537	0.00394616432729537	110.5	109.75	1
341_1_4	341	4.395127191	8.94372507262923	7.52563098218263	7.52563098218263	NaN	11.5666666666667	1	-10	0.001	0.000374400180332107	122	122.6	1
341_1_5	341	4.568974493	17.1157595255166	4.82241833445834	4.82241833445835	NaN	25.1333333333333	1	-10	0.001	0.000695457202083971	60.4000000000001	59.6000000000001	1
341_1_5	341	4.568974493	17.1157595255166	4.82241833445834	4.82241833445835	NaN	25.1333333333333	1	-5	0.00494981263866488	0.00494981263866488	64.0000000000001	54.4	9.60000000000002
341_1_5	341	4.568974493	17.1157595255166	4.82241833445834	4.82241833445835	NaN	25.1333333333333	1	0	0.0147523798420888	0.0147523798420888	70.8000000000001	49.8	21
341_1_6	341	3.283889696	-3.60970362757007	6.2614993347464	6.26149933474639	NaN	87.6	1	-10	0.001	-0.00611031098355796	127.6	133	1
341_1_6	341	3.283889696	-3.60970362757007	6.2614993347464	6.26149933474639	NaN	87.6	1	-5	0.00408999076296528	0.00408999076296528	122.6	118.8	3.8
341_1_6	341	3.283889696	-3.60970362757007	6.2614993347464	6.26149933474639	NaN	87.6	1	0	0.001	-0.00343850980581287	124.6	130.6	1
341_1_12	341	3.509759167	33.2749031690619	3.47475117006791	3.47475117006791	NaN	96.4333333333333	1	-10	0.001	0.000703316914034385	91.0000000000001	92.2000000000001	1
341_1_12	341	3.509759167	33.2749031690619	3.47475117006791	3.47475117006791	NaN	96.4333333333333	1	-5	0.00174334989719384	0.00174334989719384	82.8000000000001	81.0000000000001	1.8
341_1_12	341	3.509759167	33.2749031690619	3.47475117006791	3.47475117006791	NaN	96.4333333333333	1	0	0.001	-0.0040889537010784	68.6000000000001	77.8000000000001	1
341_1_13	341	5.020351289	29.1051902765006	3.15526827893666	3.15526827893666	NaN	9.33333333333333	1	-10	0.00567333533890492	0.00567333533890492	83.6000000000001	80.4	3.20000000000002
341_1_13	341	5.020351289	29.1051902765006	3.15526827893666	3.15526827893666	NaN	9.33333333333333	1	-5	0.011560363114435	0.011560363114435	89.0000000000001	80.4000000000001	8.60000000000001
341_1_13	341	5.020351289	29.1051902765006	3.15526827893666	3.15526827893666	NaN	9.33333333333333	1	0	0.0185718925723512	0.0185718925723512	97.0000000000001	82.8000000000001	14.2
341_1_17	341	5.113514577	24.0875356907011	4.90994237063329	4.90994237063329	NaN	94.3666666666667	1	-10	0.001	0.000328253714172499	95.2000000000001	94.0000000000001	1.20000000000002
