chinID	hearing	cf_Hz_log	an_thresh	Q10local	TTR_dB
374	NH	NaN	NaN	NaN	NaN
374	NH	6.23719953552766	15.1443480831886	3.27728482539435	NaN
374	NH	6.23719953552766	15.1443480831886	3.27728482539435	NaN
374	NH	6.28987010330962	9.87314643801486	4.80022070710496	NaN
374	NH	6.2428208331795	16.1148307985152	1.66166837718012	NaN
374	NH	6.14606696952705	14.1618349276799	1.97556413133233	NaN
374	NH	NaN	NaN	NaN	NaN
374	NH	NaN	NaN	NaN	NaN
374	NH	7.49306835876017	14.5553742219893	3.27830973378154	34.7789632438177
374	NH	7.22026195994659	16.0700550891158	3.59605392001548	37.8493169066607
374	NH	6.51294681366577	29.0327958998403	2.46703224981006	NaN
374	NH	6.42604676720847	25.3664833354503	1.97722502197695	NaN
374	NH	7.57751829215132	23.7957186291548	2.18228197629305	20.7589289815705
374	NH	7.18795591842524	25.5636232780863	1.87822826735464	19.7309776988016
374	NH	6.91284081867627	13.6752372071865	2.74888558291649	NaN
374	NH	6.76281478375814	28.3078615611342	1.5122998029595	NaN
374	NH	7.41380235625911	10.1435030184164	3.81470513167326	36.2398791122047
374	NH	7.52943675437055	22.0345048169592	2.00446791822902	29.6416526937453
374	NH	7.26096196325547	24.3774292828207	3.16986462387206	NaN
374	NH	7.22919740802464	18.8377304254694	6.10478031405995	NaN
374	NH	8.04701330791863	27.1116521648119	5.44905150667116	25.4542288169407
374	NH	7.2131290449233	14.4136902622733	3.32157596204601	NaN
374	NH	7.39892129200859	15.7403644309041	2.22657143691371	27.5020015347372
374	NH	6.86796687512297	14.5049222080893	2.17223918714041	NaN
374	NH	7.43244088214375	13.2853180101557	3.02048438098494	31.8379097565525
374	NH	8.32965156284378	19.2530796109825	4.75802509165516	NaN
374	NH	8.20602281890521	32.1333080411247	2.97508865918701	25.8139638602578
374	NH	8.26866265203254	26.7611828218631	3.3219396485316	36.2337992465472
374	NH	7.43382810808264	13.2051875548278	2.80535751037438	32.8916609991819
374	NH	7.4906484145206	15.3736559366695	2.27100054140139	30.5239530069043
374	NH	8.47239451641461	27.8694076135503	4.18161536719799	NaN
374	NH	8.47239451641461	26.536074280217	4.23310208821593	NaN
374	NH	8.41511270568512	19.4211641938925	3.79825087454034	42.0106855769908
374	NH	8.70530291457507	16.3289302426634	4.06390914166633	40.346805514196
374	NH	8.31635886076658	22.245430437097	4.55450593963102	NaN
374	NH	8.33645071889221	18.8007697419068	4.90234958973057	NaN
374	NH	8.33645071889221	15.0229919641291	4.80211434299794	NaN
374	NH	8.02424082248551	21.4283912568339	6.29236377149467	27.6286629157178
374	NH	8.06956572402518	30.0297802134317	2.96465387257718	NaN
374	NH	7.62619353740663	23.0596967477223	2.54706621094054	28.6030210955928
374	NH	7.54348073250885	21.0520372307256	2.70935819290863	NaN
374	NH	7.62619353740663	24.1708078588334	3.08232976573183	29.2974731285053
374	NH	7.48670052122063	13.700216009544	2.48743895736439	36.203284640009
374	NH	6.83062751749694	16.1036127680059	1.86603927350103	NaN
374	NH	7.0293646409065	17.6271635746106	4.13906535686037	32.2718733856609
374	NH	7.29231484032198	24.0154731241504	1.80245226042068	19.4883675462722
374	NH	6.61931699293959	14.8172876963275	2.38102296615399	NaN
374	NH	6.08090799922466	15.6476815649831	1.39036366467969	NaN
374	NH	6.17272328201513	12.0863786209397	1.82545899177804	NaN
374	NH	8.25501360735427	12.6198639393322	6.21657440584739	NaN
374	NH	7.57861848022673	18.2848292530273	3.17060610723036	34.1140972397054
374	NH	7.4653953095366	16.6193830553292	2.89411740377213	32.4487345763103
374	NH	6.64404080175752	12.7940662577497	1.84992602669153	NaN
374	NH	6.51936013593562	17.3543247590656	2.40762987174345	NaN
374	NH	6.98456967232897	25.7830931681041	2.87187605006878	NaN
374	NH	7.12202607314804	17.7412196793313	2.27536567155385	33.9254830660882
374	NH	7.12202607314804	16.6301085682202	2.00930002045738	NaN
374	NH	6.87617807574208	12.2028393792242	3.29995324587269	NaN
374	NH	6.94896654428669	19.6852028338724	3.73073653532206	NaN
374	NH	6.98456967232897	20.671982056993	3.29613410007266	NaN
374	NH	6.94896654428669	16.3518695005391	2.94704913637861	NaN
394	NH	6.23941886169103	-6.29360291699031	1.99997704473261	NaN
394	NH	5.47178396785445	25.9604530281755	NaN	NaN
394	NH	6.38821005878857	-0.105137070872868	1.37764954189264	NaN
394	NH	6.94896654428669	6.27043692038476	1.50133508807378	26.4024939411562
394	NH	6.87617807574208	20.4826557106307	1.28078691456557	19.1837121728653
394	NH	6.91284081867627	18.3496405757762	2.57646215976195	22.2473425702964
394	NH	7.51525934532659	15.6761038804701	2.62868822188675	18.2321087849768
394	NH	6.94099446147311	7.10003059963178	2.06091710752654	27.7753721636542
394	NH	6.97671235702851	9.89566851665029	2.51005563020489	31.5932135809359
394	NH	6.94099446147311	3.10003059963178	2.4823490029485	27.2793548042488
394	NH	6.71511639893914	5.9173015267128	1.51446687274523	25.5401955013815
394	NH	6.83062751749694	5.98881403760434	1.8290539814274	27.2471072840373
394	NH	6.67539149528924	7.95492998706992	1.64272674173657	23.5853421573685
394	NH	9.11491570818882	21.4188024006477	3.78780683391912	38.0063872004522
394	NH	7.38400061133246	11.9373239660074	1.34347986387625	16.5547592401814
394	NH	7.55749193694271	12.76594093284	3.34050561756742	25.3535539610984
394	NH	7.55749193694271	30.0992742661733	1.92592653417047	17.7589707773767
394	NH	7.09781198555338	11.8485729599897	1.6056738711384	16.7977485175184
394	NH	6.88645990696473	14.5832134686648	1.43878413536878	17.3764096948299
