ChinID	CF_kHz	Threshold_dBSPL	Q10local	Q10global	TTR_dB	SpontRate	HearingStatus	CF2LFpow	CFpow	LFpow	DrivenRate
374	1.795553049	14.5553742219893	3.27830973378154	3.27830973378154	34.7789632438177	97.3666666666667	1	2.91951223084757	-9.75869804544678	-12.6782102762944	97.8666666666629
374	1.366847073	16.0700550891158	3.59605392001548	3.59605392001548	37.8493169066607	65.4666666666667	1	3.65724646336446	-8.03656719351986	-11.6938136568843	74.733333333331
374	1.953774247	23.7957186291548	2.18228197629305	2.18228197629305	20.7589289815705	93.5666666666667	1	1.33420633875417	-10.4646742147224	-11.7988805534765	103.099999999996
374	1.323395311	25.5636232780863	1.87822826735464	1.87822826735464	19.7309776988016	81.1	1	4.58210525953353	-8.02217106307461	-12.6042763226081	82.6999999999972
374	1.005098493	13.6752372071865	2.74888558291649	2.74888558291649	NaN	78.8666666666667	1	2.93411043146125	-8.98523670382789	-11.9193471352891	89.0499999999968
374	0.8650737676	28.3078615611342	1.5122998029595	1.5122998029595	NaN	91.2	1	1.06673755962544	-9.95907032871102	-11.0258078883365	91.9333333333298
374	1.658721421	10.1435030184164	3.81470513167326	3.81470513167326	36.2398791122047	81.1333333333333	1	3.41527908384944	-9.06715792606124	-12.4824370099107	94.8999999999965
374	1.862056413	22.0345048169592	2.00446791822902	2.00446791822902	29.6416526937453	6.4333	1	0.838079913937861	-10.5378029653889	-11.3758828793268	26.5999999999999
374	1.423625354	24.3774292828207	3.16986462387206	3.16986462387206	NaN	98.8333333333333	1	3.8772436191617	-8.49404407479892	-12.3712876939606	92.4999999999966
374	1.379115193	18.8377304254694	6.10478031405995	6.10478031405996	NaN	103.4	1	4.19531236081389	-8.25768103369168	-12.4529933945056	92.5833333333298
374	3.124449254	27.1116521648119	5.44905150667116	5.44905150667116	25.4542288169407	10.3333333333333	1	0.0495659848238859	-11.736943058379	-11.7865090432029	13.7333333333335
374	1.357132158	14.4136902622733	3.32157596204601	3.32157596204601	NaN	76.9	1	4.03018846431564	-7.95709829967711	-11.9872867639928	88.7833333333302
374	1.634220632	15.7403644309041	2.22657143691371	2.22657143691371	27.5020015347372	93.3333333333333	1	4.16725496163139	-9.26371900894665	-13.430973970578	103.633333333329
374	0.96099276	14.5049222080893	2.17223918714041	2.17223918714041	NaN	85.7	1	1.87115709216195	-9.38162643181769	-11.2527835239796	77.9499999999975
374	1.689927457	13.2853180101557	3.02048438098494	3.02048438098494	31.8379097565525	75.3666666666667	1	1.17250232709259	-9.80739603428577	-10.9798983613784	94.566666666663
374	4.144973038	19.2530796109825	4.75802509165516	4.75802509165516	NaN	86.4666666666667	1	-1.19406249645186	-11.1870931447997	-9.9930306483478	63.5333333333314
374	3.662945261	32.1333080411247	2.97508865918701	2.97508865918701	25.8139638602578	73.5	1	-2.38454698519956	-11.7843546107382	-9.39980762553861	66.4833333333313
374	3.899730207	26.7611828218631	3.3219396485316	3.3219396485316	36.2337992465472	92.2333333333333	1	-1.08168181447471	-11.3064901959836	-10.2248083815089	66.8666666666659
374	1.692273395	13.2051875548278	2.80535751037438	2.80535751037438	32.8916609991819	64.7	1	2.20665934306362	-9.9522940433433	-12.1589533864069	83.6833333333303
374	1.791213164	15.3736559366695	2.27100054140139	2.27100054140139	30.5239530069043	51.4666666666667	1	2.67095643517229	-9.49081204816184	-12.1617684833341	80.3833333333305
374	4.780949837	27.8694076135503	4.18161536719799	4.18161536719799	NaN	0.2	1	2.76909886905187	-10.4760192224533	-13.2451180915052	0.700000000000001
374	4.780949837	26.536074280217	4.23310208821593	4.23310208821593	NaN	0.1	1	3.06929898880088	-10.305021849519	-13.3743208383199	1.01666666666667
374	4.514784368	19.4211641938925	3.79825087454034	3.79825087454034	42.0106855769908	29.2	1	1.98040914204103	-10.6995174284303	-12.6799265704713	17.7
374	4.090239729	22.245430437097	4.55450593963102	4.55450593963102	NaN	57.5666666666667	1	-1.08993108530385	-10.9475885794691	-9.85765749416527	33.1833333333331
374	4.173251382	18.8007697419068	4.90234958973057	4.90234958973057	NaN	66.0666666666667	1	-2.33050721831327	-11.4052997396341	-9.07479252132083	44.2999999999991
374	4.173251382	15.0229919641291	4.80211434299794	4.80211434299794	NaN	84.6333333333333	1	-0.786796380307351	-11.1298340507991	-10.3430376704918	47.8333333333333
374	3.054101812	21.4283912568339	6.29236377149467	6.29236377149467	27.6286629157178	56.9333333333333	1	-1.651798200229	-11.9344377540893	-10.2826395538603	66.9999999999979
374	3.195713706	30.0297802134317	2.96465387257718	1.81248437872351	NaN	18.4666666666667	1	-0.258581134403926	-11.8519608139422	-11.5933796795383	33.0499999999996
374	2.051227221	23.0596967477223	2.54706621094054	2.54706621094054	28.6030210955928	73.3	1	0.859829415409507	-11.407431013373	-12.2672604287825	72.6999999999976
374	1.888391585	21.0520372307256	2.70935819290863	2.70935819290863	NaN	10.7333333333333	1	1.72975892678465	-10.0518239439234	-11.7815828707081	38.4999999999995
374	2.051227221	24.1708078588334	3.08232976573183	3.08232976573183	29.2974731285053	93.7667	1	1.02353934295402	-10.6518322375983	-11.6753715805524	89.5166666666634
374	1.784155586	13.700216009544	2.48743895736439	2.48743895736439	36.203284640009	72.8333333333333	1	2.45745732115984	-9.56882116160384	-12.0262784827637	98.8999999999962
374	0.9257715681	16.1036127680059	1.86603927350103	1.86603927350103	NaN	95.9	1	-3.32783266108822	-11.6531510862011	-8.32531842511293	95.4166666666631
