ChinID	HearingStatus	OnRate_d	OnRate_g
358	0	1.4918536617366	2.14727696277244
360	0	2.07983202500562	2.44371329528884
366	0	2.17361035027359	2.74300111076434
367	0	1.54481241157579	1.71698667414764
369	1	2.59663869375153	1.96956939212015
370	1	2.15285005562418	2.23433643611796
369	0	3.31256937824709	3.8046737578384
370	0	2.77427633572412	2.38501176637346
374	1	4.60015785977928	4.4084153316751
375	1	3.71815584063935	2.59263069809914
376	1	3.40540541792767	3.45092436745201
378	1	2.76892133242733	2.34989870043105
381	1	4.36896605405353	3.31696228808416
382	1	3.8872057958893	2.82979387520364
